iter	MAPE	Quantile:alpha=0.5
315	0.1497402567	0.1490511661
316	0.1495308202	0.1488504078
317	0.1491797961	0.1485322079
318	0.1489457519	0.1483390697
319	0.1486991032	0.1480937853
320	0.1485141139	0.1479066111
321	0.1483044298	0.1476784727
322	0.1480561162	0.1474256047
323	0.1478287403	0.1471813875
324	0.1475899514	0.1469609449
325	0.1473884075	0.1467444347
326	0.1471933688	0.1465155562
327	0.1469893231	0.1463139558
328	0.1467842345	0.1460411093
329	0.146532511	0.1457812174
330	0.1463038991	0.1455193652
331	0.1460398216	0.1453133002
332	0.145697906	0.1449646554
333	0.1455051115	0.1447972314
334	0.1452686993	0.1445560538
335	0.145081639	0.1443013424
336	0.1447867992	0.144015187
337	0.1446584649	0.1438461504
338	0.1444217196	0.143617641
339	0.1440451284	0.1432963063
340	0.1437160977	0.1430246043
341	0.1435137841	0.1428102972
342	0.1433344522	0.1426075923
343	0.1432167901	0.1424377474
344	0.1429656383	0.142214925
345	0.1427413916	0.1419846609
346	0.1424235274	0.1417197101
347	0.1421623842	0.1414904845
348	0.1419217147	0.1412825368
349	0.1417584794	0.1410965492
350	0.1415319649	0.1408617764
351	0.141312151	0.1406485809
352	0.1410493116	0.1404355717
353	0.1407625047	0.1401697519
354	0.1406268518	0.139970383
355	0.1402612982	0.1397158369
356	0.1402315506	0.1396479791
357	0.1400584476	0.1394730895
358	0.1398280521	0.1392347848
359	0.1395563434	0.1389748192
360	0.1394070227	0.1388089928
361	0.1392700334	0.1385746713
362	0.1391249781	0.138380435
363	0.1388725097	0.1381545377
364	0.1386563172	0.1379616951
365	0.1384442031	0.1376996015
366	0.1382814917	0.13755737
367	0.1380980248	0.1373917786
368	0.1379550619	0.1372008751
369	0.1376953084	0.1369754251
370	0.1375784152	0.1367975564
371	0.1373959119	0.1366022037
372	0.1369662948	0.1362740519
373	0.1367488027	0.1360936871
374	0.136520704	0.1359191412
375	0.1362656527	0.1357028889
376	0.1361246425	0.1355921678
377	0.1359410578	0.135426087
378	0.1358355823	0.135266324
379	0.1356151356	0.1350886836
380	0.1353245504	0.1348753051
381	0.1351811068	0.1347211685
382	0.1349120687	0.134456203
383	0.1347459827	0.1342835913
384	0.1345774224	0.1341282884
385	0.1344466798	0.1339801453
386	0.134154882	0.1337089282
387	0.1340632438	0.1335973136
388	0.1338320535	0.1334294243
389	0.1335706964	0.1332024688
390	0.1334894193	0.1330893791
391	0.1333892247	0.1329614
392	0.133246093	0.1328006589
393	0.1331382377	0.1326661164
394	0.1329819614	0.1325119029
395	0.1328552047	0.1323365222
396	0.1326964122	0.1321609338
397	0.1325713834	0.1320083063
398	0.1325006946	0.1318662785
399	0.1323582532	0.1316959131
400	0.1322054602	0.1315419391
401	0.1320615228	0.1313382537
402	0.1318552316	0.131143961
403	0.1317038232	0.1309997144
404	0.1315406125	0.130823922
405	0.1314375775	0.1307066494
406	0.1312115633	0.1304954309
407	0.1310962447	0.1303710518
408	0.1308641724	0.1301370802
409	0.1306845132	0.129974051
410	0.1305561347	0.1298281634
411	0.1304599133	0.1296833072
412	0.1303586086	0.1295461555
413	0.1302005566	0.1293914438
414	0.1300664797	0.1292505317
415	0.1298523347	0.1290216829
416	0.1297578221	0.1288958223
417	0.1296911344	0.1287913276
418	0.12956578	0.1286670133
419	0.1294782459	0.1285226258
420	0.1293795559	0.1283814829
421	0.1293138093	0.1283069837
422	0.1291883336	0.1281544625
423	0.1289619363	0.1279452045
424	0.1287240496	0.1277405272
425	0.1286068672	0.1276094186
426	0.1284830027	0.1274384203
427	0.1283640884	0.1273018592
428	0.1282196038	0.1271637139
429	0.1281084235	0.1269974791
430	0.1279370874	0.1268359027
431	0.1277079754	0.1266408755
432	0.1276096905	0.1265398761
433	0.1275775294	0.1264761457
434	0.1272525812	0.1262361547
435	0.1271437682	0.1261114678
436	0.1270403469	0.1259902126
437	0.1269137928	0.1258235354
438	0.1266800872	0.1255844242
439	0.1265022867	0.1254259482
440	0.1263891757	0.1253177754
441	0.1262310136	0.1251748605
442	0.1261157549	0.1250642107
443	0.1259731302	0.1249347562
444	0.1258180982	0.1248170626
445	0.1256788065	0.1246841963
446	0.1254821574	0.1244999946
447	0.1253558914	0.1243626995
448	0.125227821	0.1242005563
449	0.1251527424	0.1241045286
450	0.1249529911	0.1239210945
451	0.124900634	0.1238441153
452	0.1247557858	0.1236927115
453	0.1246508139	0.1235594008
454	0.1245271897	0.1234286302
455	0.1244912793	0.1233411451
456	0.1244156022	0.1232669667
457	0.1243008545	0.1231366358
458	0.1242045848	0.1230110892
459	0.1241580638	0.1229210815
460	0.1239341175	0.1227205865
461	0.1237887396	0.1225668405
462	0.1237404944	0.1224739443
463	0.1236072095	0.1223181793
464	0.123519249	0.1222334779
465	0.1234019118	0.1221335851
466	0.1231763861	0.1219389757
467	0.1230577511	0.1218265674
468	0.1229574961	0.1217004979
469	0.1227653332	0.1215050891
470	0.1226041417	0.1213464188
471	0.1224899243	0.1212485461
472	0.1222855925	0.1210536719
473	0.1220996913	0.1208747467
474	0.1219324346	0.1207290387
475	0.1217554126	0.1205917288
476	0.1216124489	0.1204172159
477	0.121362364	0.1202063642
478	0.1212371451	0.1200935842
479	0.1210769433	0.1199877467
480	0.1209664276	0.1198706528
481	0.1208766997	0.1197822082
482	0.1207583548	0.1196592245
483	0.1206993799	0.1195965349
484	0.1205859865	0.1194509323
485	0.120510521	0.1193572177
486	0.1204172217	0.1192478846
487	0.1203102376	0.1191475973
488	0.1202043089	0.1190445265
489	0.120173757	0.1189756582
490	0.120056674	0.1188441917
491	0.1198340715	0.1186815008
492	0.119749633	0.1186077761
493	0.1197174314	0.1185559811
494	0.1195690451	0.1184239735
495	0.1195517787	0.1183787005
496	0.11923322	0.1181275983
497	0.1190662223	0.1179171168
498	0.1188864188	0.1177525283
499	0.1188213893	0.117680813
500	0.1186486587	0.1175416254
501	0.1185947594	0.117445821
502	0.1184920461	0.1173042089
503	0.1184197356	0.1172311244
504	0.118372018	0.1171650315
505	0.1183374792	0.1171003938
506	0.1181881025	0.1169479498
507	0.1181301217	0.1168721986
508	0.1180094629	0.1167726035
509	0.117914632	0.1166803045
510	0.1177408826	0.1165123817
511	0.1175953671	0.1163620154
512	0.1174836825	0.1162328005
513	0.1173929069	0.1161188319
514	0.1173022021	0.1160253228
515	0.1172455518	0.1159570496
516	0.1171417066	0.1158664581
517	0.1170639804	0.1157484702
518	0.1170018966	0.1156706745
519	0.116940464	0.1156038731
520	0.1169019941	0.1155472589
521	0.1167611743	0.1153832385
522	0.116651466	0.1152660808
523	0.1165160961	0.1151754269
524	0.1163605789	0.1150320125
525	0.1162681435	0.1149448339
526	0.1161810838	0.1148439134
527	0.1161277026	0.1147645392
528	0.116059802	0.1146600286
529	0.1158886079	0.1144736211
530	0.115772514	0.1143579294
531	0.1157046515	0.1142768343
532	0.1156597077	0.114209073
533	0.1155669454	0.1141250025
534	0.1155244701	0.114063012
